supplier,count
United States,696
Soviet Union,232
United Kingdom,108
France,45
Ukraine,36
Australia,32
China,31
Netherlands,25
India,24
Russia,23
Germany (FRG),21
Israel,18
Czech Republic,17
South Korea,13
Slovakia,11
Singapore,10
Unknown,7
Sweden,7
Poland,6
Jordan,6
Italy,5
South Africa,5
Bulgaria,5
Canada,5
Belarus,4
Japan,4
Belgium,4
Iran,4
Pakistan,4
New Zealand,4
Yugoslavia,3
UAE,3
Kazakhstan,3
Spain,2
Switzerland,2
Brunei,2
Serbia,2
Unknown supplier(s),2
Oman,2
Malaysia,2
Indonesia,2
Seychelles,2
Bosnia-Herzegovina,2
Denmark,2
Norway,2
Taiwan (ROC),2
Libya,2
Czechoslovakia,2
South Yemen,2
Turkey,2
Brazil,1
Lebanon,1
Bangladesh,1
Kuwait,1
Kyrgyzstan,1
Hungary,1
Malta,1
Ghana,1
Portugal,1
Uzbekistan,1
Egypt,1
Viet Nam,1
Thailand,1
East Germany (GDR),1
South Vietnam,1
